uthithanti,ଉଠିଥାଆନ୍ତି
iwas,ଆଇଡବ୍ଲ୍ୟୁଏଏସ୍
uttaradeba,ଉତ୍ତରଦେବା
landscaping,ଲ୍ୟାଣ୍ଡ୍ସ୍କେପିଂ
metla,ମେଟଲା
kishmish,କିଶମିଶ୍
bhutaku,ଭୂତକୁ
agyatasararegosthira,ଅଜ୍ଞାତସାରରେଗୋଷ୍ଠିର
mahadebanasha,ମହାଦେବନଶା
dekheigale,ଦେଖେଇଗଲେ
kristopher,କ୍ରିଷ୍ଟୋଫର
karuthibabelebajraghata,କରୁଥିବାବେଳେବଜ୍ରାଘାତ
nistasana,ନିଷ୍ଟାସନ
pashichhanti,ପଶିଛନ୍ତି
kiba,କିବା
shalinatara,ଶାଳୀନତାର
rodamyapaku,ରୋଡମ୍ୟାପକୁ
parudipashi,ପାରୁଡିପଶି
aaurangajebankara,ଆଉରଙ୍ଗଜେବଙ୍କର
jikitsa,ଜିକିତ୍ସା
janasahabhagitare,ଜନସହଭାଗିତାରେ
kehete,କେହେତେ
lunimacha,ଲୁଣିମାଛ
thanaantargata,ଥାନାଅନ୍ତର୍ଗତ
karjyasai,କାର୍ଯ୍ୟଶୈ
parts,ପାର୍ଟସ୍
loshanare,ଲୋଶନରେ
mehedijade,ମେହେଦିଜାଦେ
jomingaliana,ଜୋମିଙ୍ଗଲିଆନା
bacteriankara,ବ୍ୟାକ୍ଟେରିଆଙ୍କର
jalasechan,ଜଳସେଚନ୍
nirupamaku,ନିରୁପମକୁ
bhaganeichi,ଭାଗନେଇଛି
octoberfest,ଅକ୍ଟୋବରଫେଷ୍ଟ
eseeyanku,ଏସୀୟଙ୍କୁ
kuradire,କୁରାଡିରେ
dwiteeyatiku,ଦ୍ୱିତୀୟଟିକୁ
abhijogati,ଅଭିଯୋଗଟି
spool,ସ୍ପୁଲ
edaidianapare,ଏଡାଇଦିଆନପାରେ
ganni,ଗନ୍ନି
meksikore,ମେକ୍ସିକୋରେ
