frental,فرنٹل
behlana,بہلانا
jagrafiya,جغرافیہ
sabez,سبٕز
kemeo,کیمیٲوی
gizat,غذات
darulsaltanat,دارالسلطنت
badkhawahi,بدخواہی
khabrek,خبرک
aarpi,آرپی
navniyat,ناونیت
shorosher,شوروشر
wananas,وَننس
tewjengjew,توجنگجو
istoo,اشٹو
kahlarha,کہلارہا
kamaebi,کامیٲبی
musniph,مُصنِفہٕ
harshahrah,ہرشاہراہ
sozaan,سوزان
zanti,زنتہٕ
gorander,گورندر
preznawnech,پرٛزناونٕچ
layakh,لایکھ
bharmafadprest,بھرمفادپرست
wazirat,وزیرت
karonatibah,کروناتباہ
gaashik,گاشک
anduz,اندوز
kuthis,کُٹِھس
lotaya,لوٹایا
badkhaslat,بدخصلتھ
lisaeniyeti,لِسانیٲتی
zururath,ضوٚروٗرتھ
edishan,اٮ۪ڈیشن
sapaal,سپال
chhapeyr,چھاپرۍ
korah,کوراہ
kuun,کوٗن
kormut,کوٚرُمت
laene,لٲنہٕ
indoneshiya,انڈونیشیا
forakhtam,فوراختم
guftarkardar,گفتارکردار
intrioz,انٹریوز
byemaaran,بٮ۪مارن
baskin,بسکیٖن
khosusiyath,خوٚصوٗصیاتھ
baamal,باعمل
teqezi,تقاضی
zeerkhak,زیرخاک
samrenjiyat,سمرنجیت
nasbat,نسبت
bidoon,بِدوٗن
kemteri,کمتری
saelas,سٲلس
boad,بوٚڈ
doglas,ڈوگلس
ahengran,آہنگرن
kyeszas,کیسزس
yaderi,یادٲری
mehshi,محشی
mutehaded,متحدد
humaramutaliba,ہمارامطالبہ
jadnah,جڑناہ
darudan,دوٚروٗدن
tranfer,ٹرانفر
sectriyon,سیکٹریوں
sarfaraziyon,سرفرازیوں
giriftarkirti,گرفتارکرتی
kogriftarkaran,کوگرفتارکرن
rozpoliyas,روزپولیس
numayinde,نُمایندٕ
hyevan,ہٮ۪وان
seliq,سٲلِک
kasna,کسنا
regyib,راغب
warai,وَرٲے
mohammadada,محمددا
seslee,سسلی
holderzko,ہولڈرزکو
khiomut,کھیومُت
travte,ترٛاوتہٕ
jakadjatah,جکڑجاتاہ
tamharahazrat,تمہاراحضرت
maskharan,مسخرن
sanaaran,سنارن
hazratbel,حضرتبل
rifaafat,رفافت
cavideoconferencing,کاویڈیوکانفرنسنگ
unitedferent,یونایٹڈفرنٹ
sharmakwapan,شرماکواپن
azekis,أزۍکِس
satamgaar,ستمگار
sericulture,سیریکلچر
apnaro,اپنارو
khabargarm,خبرگرم
fankaran,فنکارن
tshalav,ژَھلَو
yuyg,یوٗگۍ
peys,پٔسۍ
anzravne,أنزراونہٕ
barist,برست
adib,ادیٖب
khasraas,خسراس
kyaguzashte,کیاگزشتہ
majmo,مجمو
vatni,وَتنھ
awrehtejaji,اوراحتجاجی
tehqiqas,تحقیقس
ozaan,اوزان
lekhaw,لٮ۪کھو
yejio,یجیو
mashbat,مشبت
aphsanas,اَفسانس
galbe,غالبہٕ
zamaas,زماس
hochkah,ہوچکاہ
mubaarbaad,مبارباد
alfiya,الفیہ
vagaer,وغٲرٕ
mohammadkhurish,محمدخورش
veraey,ؤرٲے
chester,چیسٹر
mosmiyati,موسمیاتی
maddepa,مددپا
zagith,زٲگِتھ
adptation,ایڈپٹیشن
fezli,فٲضلی
wechhin,وٕچھن
targanef,ترگنیف
peywmut,پیومُت
mahatmagandhi,مہاتماگاندھی
waltaqleedi,والتقلیدی
daqe,دَکہٕ
waatnaawnas,واتناونَس
professorjegmohan,پروفیسرجگموہن
lojehad,لوجہاد
kotoliyon,کوٹولیوں
karziyafat,کرضیافت
dastavzat,دستاوزات
babalog,بابالوگ
bastah,بستاہ
khafiya,خفیہ
manzerki,منظرکی
karwanas,کاروانَس
tyut,تیوٗت
khushdil,خوشدل
gardetnezim,گردتنظیم
sabrom,سبروم
barricator,بیریکیٹر
kagvah,کاگواہ
ankochna,انکوچنا
dhalna,ڈھالنا
mejester,مجسٹر
dandsa,ڈنڈسا
islaamas,اسلامَس
darbaranbot,دربارنبوت
maarg,مارگ
zaaw,زاو
diluk,دِلُک
pehlu,پہلو
gorkeerat,گورکیرت
qamyaebi,کامیٲبی
maanah,ماناہ
rewish,رٔوِشَن
hindustaanas,ہنٛدُستانَس
savalas,سوالس
rujhan,رُجحان
lehadkerdiyagiya,لحدکردیاگیا
pargaadi,پرگاڑی
votlaavnuk,وۄتلاونُک
alqaab,القاب
manavaan,مناوان
garkun,گارکون
ramqadam,رمقدم
ikhlaki,اخلاقی
audition,آڈیشن
karnayaksi,کرنایاکسی
