afsosnak,افسوسناڪ
utrani,اتراڻي
ubhranda,اڀرندا
rahandiyoon,رهنديون
pakriyoon,پڪڙيون
chhilro,ڇلڙو
hadbandeen,حدبندين
aparwa,اپروا
sotarwarati,سوترورتي
mujahidi,مجاهدي
gunbz,گنبد
chandani,چانداڻي
padokota,پدوڪوٽا
jhede,جھيڙي
lobha,لوڀا
silaka,سلڪ
subhaney,سڀاڻي
triangle,ٽرائنگل
jukdyo,جڪڙيو
marial,مڙيل
khulfae,خلفاءِ
khryon,ڪهڙن
tezfaham,تيزفهم
wiseri,وسري
khatimi,خاتمي
tundrust,تندرست
chokan,چوڪن
khaliqdad,خالقداد
agheli,اڳيلي
documentaries,ڊاڪيومينٽريز
nawaen,نوائڻ
palet,پليٽ
penhawer,پنھور
wazeran,وزيرن
mozua,موضوع
mehkooman,محڪومن
aazia,آزيءَ
kalesh,ڪليش
damchiyoon,دمچيون
moraveena,موراوينا
shugal,شغل
fariq,فارق
dajil,داجل
theendiyoon,ٿينديون
governaret,گورنريٽ
chenaslik,چيناسلڪ
abasea,عباسيءَ
rehael,رهيل
wenjhee,وهنجي
afghaneen,افغانين
alyar,اليار
kutbah,ڪتبه
hakayatoon,حڪايتون
coursan,ڪورسن
udanal,اڏاڻل
rachhan,رڇن
zardozi,زردوزي
templar,ٽيمپلر
wihani,وهاڻي
dodal,ڊوڊل
lutyo,لٽيو
asatlahan,اصطلاحن
umadat,عمدة
chhabiyoon,ڇٻيون
ghanyoun,گهڻيون
muqala,مقالا
wing,ونگ
eenhe,اينهي
azmayal,آزمايل
jantari,جنتري
piyasiyen,پياسين
refrendum,ريفرنڊم
khadjumba,خدجمبا
hellinistic,هيلنسٽڪ
anab,انب
coca,ڪوڪا
goirani,گوئراني
shikarpooria,شڪارپوريءَ
piseen,پسين
asatkharo,استخارو
bagdadee,بغدادي
jangshahi,جنگشاهيءَ
phelji,ڦيلجي
qandari,قنڌاري
parhoon,پڙهون
wapar,واپار
aanandar,آڻندڙ
walsun,ولسن
bolveen,بولوين
spenix,اسپنڪس
ghulee,گهلي
phaahar,ڦاهر
zabita,ضابطا
charhya,چڙهيا
muhanji,منھنجي
commetti,ڪاميٽي
lalkaroon,للڪارون
fredrik,فريڊرڪ
kadhayo,ڪڍايو
dilsozi,دلسوزي
gataeen,ڳاتائين
gaahan,گاهن
kamoro,ڪامورو
khiwan,کنوڻ
satyab,ستياب
jhajhee,جهجهي
chhamkania,ڇمڪڻيءَ
serwaani,سرواڻي
tetaan,ٽيٽان
sahaendar,سهائيندڙ
satrenh,سترھين
sarbasti,سربستي
maqbooliat,مقبوليت
licki,لِڪي
labasi,لباسي
rarri,رڙي
makhnoon,مکنون
kherali,کيرالي
histri,هسٽري
bharyan,ڀريان
misaliyat,مثاليت
sonpiyoon,سونپيون
enspectar,انسپيڪٽر
lohanan,لوهاڻن
hubshee,حبشي
pakro,پڪڙو
thgi,ٺڳي
giani,گياني
achhe,اڇي
banbhpahran,ٻنڀپهرن
oglo,اوگلو
atya,عطيا
eeraniyan,ايرانين
foreign,فارين
line,لائن
mobeedan,موبيدن
aabuzro,آبزرو
kahanyun,ڪھاڻيون
sagnan,سڳڻن
balatarand,بالاترند
muzdalif,مزدلف
sachedno,سچيڏنو
circle,سرڪل
statisman,اسٽيٽسمن
phenan,ڦيڻن
aawat,آوت
khuli,کُلي
