swaasthmay,સ્વાસ્થમય
siddhivarne,સિદ્ધિવરને
flatstick,ફ્લેટસ્ટિક
hakpaatra,હકપાત્ર
unitable,યુનિટેબલ
sarasvatijine,સરસ્વતીજીને
sunblocks,સનબ્લૉક્સ
sterneds,સ્ટર્ન્ડ્સ
raitarsamaa,રાઇટર્સમાં
distrilliers,ડિસ્ટ્રિલિયર્સ
anetenu,અનેતેનું
akarmany,અકર્મણ્ય
agyarse,અગ્યારસે
panirnu,પનિરનું
raathok,રાઠોક
gnaneejanull,જ્ઞાનીજનોને
nexiumna,નેક્સિયમના
sphuraave,સ્ફૂરાવે
udashinta,ઉદાશીનતા
netajino,નેતાજીનો
devdarmathi,દેવદારમાંથી
gosf,જીઓએસએફ
palisthi,પાલીસથી
navarasne,નવરસને
mahinaao,મહિનાઓ
varshabhinand,વર્ષાભિનંદ
alefkhan,આલેફખાન
upyogitaanaa,ઉપયોગિતાનાં
chomergunji,ચોમેરગુંજી
ugareja,ઉગરેજા
bhujbal,ભૂજબળ
eklakni,એકલાકની
larydian,લેરીડીયન
ganeetashastree,ગણિતશાસ્ત્રી
bhejvalaa,ભેજવાળા
meejanyuni,મીજાન્યુની
gaurelal,ગૌરેલાલ
observene,ઓબ્ઝર્વને
kolekar,કોલેકર
takvadini,તકવાદીની
gohu,ગોહુ
samudravaalaa,સમુદ્રવાળા
shabdshaili,શબ્દશૈલી
mufflernaa,મફલરના
chalvalkarina,ચળવળકારીના
khedkidaula,ખેડકીદૌલા
waterpipe,વોટરપાઇપ
vajedaro,વાજેદારો
shehlaanu,શેહલાનું
kadnu,કદનું
gharodeeya,ઘરોડિયા
khenchaavaane,ખેંચાવાને
bumabumo,બુમાબુમો
raayalnee,રાયલની
ranparmathi,રાણપરમાંથી
virvrat,વીરવ્રત
simarnu,સિમરનું
deadthi,ડેડથી
nondhaavaayu,નોંધાવાયુ
aatmasmrutinu,આત્મસ્મૃતિનું
sabmarinull,સબમરીનોને
jingalni,જીંગલની
