maaraataddu,ಮಾರಾಟದ್ದು
lumics,ಲುಮಿಕ್ಸ್
kendradallega,ಕೇಂದ್ರದಲ್ಲೆಗ
shastrabhyasa,ಶಸ್ತ್ರಭ್ಯಾಸ
sandarbhagalindale,ಸಂದರ್ಭಗಳಿಂದಲೇ
suttuvikeyindaagi,ಸುತ್ತುವಿಕೆಯಿಂದಾಗಿ
gatravaddarinda,ಗಾತ್ರವಾದ್ದರಿಂದ
kivirurandhragalu,ಕಿವಿರುರಂಧ್ರಗಳು
monestry,ಮೊನೆಸ್ಟ್ರಿ
vidvaamsararaada,ವಿದ್ವಾಂಸರರಾದ
versetty,ವರ್ಸೆಟ್ಟಿ
pravind,ಪ್ರವಿಂದ್
bandubittideyalla,ಬಂದುಬಿಟ್ಟಿದೆಯಲ್ಲ
offshoot,ಆಫ್ಶೂಟ್
devvashaastradalli,ದೆವ್ವಶಾಸ್ತ್ರದಲ್ಲಿ
hesarhalli,ಹೆಸರಹಳ್ಳಿ
sabalikaranavendare,ಸಬಲೀಕರಣವೆಂದರೆ
uuriddaroo,ಊರಿದ್ದರೂ
hichukuttive,ಹಿಚುಕುತ್ತಿವೆ
kanisabekendare,ಕಾಣಿಸಬೇಕೆಂದರೆ
karirayanige,ಕರಿರಾಯನಿಗೆ
kareyito,ಕರೆಯಿತೊ
ramaswamine,ರಾಮಸ್ವಾಮಿನೆ
komuprachodaneya,ಕೋಮುಪ್ರಚೋದನೆಯ
appannashetty,ಅಪ್ಪಣ್ಣಶೆಟ್ಟಿ
vishapooritavaagive,ವಿಷಪೂರಿತವಾಗಿವೆ
prasarisuva,ಪ್ರಸರಿಸುವ
rakshisikondittu,ರಕ್ಷಿಸಿಕೊಂಡಿತ್ತು
chindiyaguvudannu,ಚಿಂದಿಯಾಗುವುದನ್ನು
bemaruvudunte,ಬೆಮರುವುದುಂಟೆ
mandisabekagittu,ಮಂಡಿಸಬೇಕಾಗಿತ್ತು
marushodhaneya,ಮರುಶೋಧನೆಯ
sahihaakilla,ಸಹಿಹಾಕಿಲ್ಲ
kaijodisiddoo,ಕೈಜೋಡಿಸಿದ್ದೂ
hariyuvantaayitu,ಹರಿಯುವಂತಾಯಿತು
yogyavannagisuttade,ಯೋಗ್ಯವನ್ನಾಗಿಸುತ್ತದೆ
kaluhisikodalaaguttade,ಕಳುಹಿಸಿಕೊಡಲಾಗುತ್ತದೆ
mohanamurali,ಮೋಹನಮುರಲಿ
aromatherapiptic,ಆರೊಮಾಥೆರಪಿಪ್ಟಿಕ್
janmakodalu,ಜನ್ಮಕೊಡಲು
headsetgagi,ಹೆಡ್ಸೆಟ್ಗಾಗಿ
bikkabikki,ಬಿಕ್ಕಬಿಕ್ಕಿ
antyagolisuvudaagi,ಅಂತ್ಯಗೊಳಿಸುವುದಾಗಿ
interweaving,ಇಂಟರ್ವೀವಿಂಗ್
taratagatiyinda,ತರತಗತಿಯಿಂದ
vairaanuvaagi,ವೈರಾಣುವಾಗಿ
yaksharaatriya,ಯಕ್ಷರಾತ್ರಿಯ
kadithene,ಕಡಿತೇನೆ
niyojakarinda,ನಿಯೋಜಕರಿಂದ
prakashisutta,ಪ್ರಕಾಶಿಸುತ್ತಾ
devarigandu,ದೇವರಿಗಂದು
kantamadhuryakke,ಕಂಠಮಾಧುರ್ಯಕ್ಕೆ
bhavodrekagondavarante,ಭಾವೋದ್ರೇಕಗೊಂಡವರಂತೆ
aadarshavaditanakke,ಆದರ್ಶವಾದಿತನಕ್ಕೆ
alavadisikondaddu,ಅಳವಡಿಸಿಕೊಂಡದ್ದು
nereyandammanda,ನೆರೆಯಂಡಮ್ಮಂಡ
koodikondavanaagi,ಕೂಡಿಕೊಂಡವನಾಗಿ
devasthaanagaliruttave,ದೇವಸ್ಥಾನಗಳಿರುತ್ತವೆ
myyappan,ಮೈಯಪ್ಪನ್
troftophan,ಟ್ರೊಫ್ಟೋಫಾನ್
bayyatodagidanu,ಬಯ್ಯತೊಡಗಿದನು
kadiyam,ಕದಿಯಾಮ್
bahirangamadilla,ಬಹಿರಂಗಮಾಡಿಲ್ಲ
uddaghatta,ಉದ್ದಘಟ್ಟ
tarakaradiya,ತರಕರಡಿಯ
patrikodyamave,ಪತ್ರಿಕೋದ್ಯಮವೇ
beragaagiddaane,ಬೆರಗಾಗಿದ್ದಾನೆ
yagabahudendu,ಯಾಗಬಹುದೆಂದು
prakrutikatege,ಪ್ರಾಕೃತಿಕತೆಗೆ
cinesasnolage,ಸಿನೆಸಸ್ನೊಳಗೆ
premasvaroopiyaada,ಪ್ರೇಮಸ್ವರೂಪಿಯಾದ
santasagolluvaru,ಸಂತಸಗೊಳ್ಳುವರು
rangakshetrakke,ರಂಗಕ್ಷೇತ್ರಕ್ಕೆ
prasaadavillade,ಪ್ರಸಾದವಿಲ್ಲದೆ
maadikodalaagi,ಮಾಡಿಕೊಡಲಾಗಿ
hennaanegalinda,ಹೆಣ್ಣಾನೆಗಳಿಂದ
kaaryanirvasuttiru,ಕಾರ್ಯನಿರ್ವಸುತ್ತಿರು
vegadalla,ವೇಗದಲ್ಲ
hoydi,ಹೊಯ್ದಿ
cinemadallio,ಸಿನಿಮಾದಲ್ಲಿಯೊ
basurinalloo,ಬಸುರಿನಲ್ಲೂ
kodikalnalliruva,ಕೋಡಿಕಲ್ನಲ್ಲಿರುವ
proothsaahavaagali,ಪ್ರೋತ್ಸಾಹವಾಗಲಿ
sannatale,ಸಣ್ಣತಲೆ
odanaatadindaagi,ಒಡನಾಟದಿಂದಾಗಿ
shrungabindugalu,ಶೃಂಗಬಿಂದುಗಳು
jagadalliddeveye,ಜಾಗದಲ್ಲಿದ್ದೇವೆಯೇ
shoonyavaagu,ಶೂನ್ಯವಾಗು
rajiyagodilla,ರಾಜಿಯಾಗೋದಿಲ್ಲ
samruddiyu,ಸಮೃದ್ದಿಯು
agabekagaiti,ಆಗಬೇಕಾಗೈತಿ
aadeshahoradisabeku,ಆದೇಶಹೊರಡಿಸಬೇಕು
shivasvaroopiyaada,ಶಿವಸ್ವರೂಪಿಯಾದ
kampisadiralu,ಕಂಪಿಸದಿರಲು
uttaraadhikaarigalillada,ಉತ್ತರಾಧಿಕಾರಿಗಳಿಲ್ಲದ
hindirugisuvudallade,ಹಿಂದಿರುಗಿಸುವುದಲ್ಲದೇ
madachida,ಮಡಚಿದ
gadhra,ಗಾಧ್ರಾ
koogavante,ಕೂಗವಂತೆ
karkajou,ಕಾರ್ಕಾಜೌ
antaravenilla,ಅಂತರವೇನಿಲ್ಲ
dharmadindam,ಧರ್ಮದಿಂದಂ
jioswad,ಜಿಯೋಸ್ವಾದ್
swamp,ಸ್ವ್ಯಾಂಪ್
midiyalaayitu,ಮಿಡಿಯಲಾಯಿತು
tapasviyante,ತಪಸ್ವಿಯಂತೆ
akarakoshagalanne,ಆಕರಕೋಶಗಳನ್ನೇ
prayatnisiddagyoo,ಪ್ರಯತ್ನಿಸಿದ್ದಾಗ್ಯೂ
urulisuvantaha,ಉರುಳಿಸುವಂತಹ
sambadapatta,ಸಂಬದಪಟ್ಟ
joojaadutta,ಜೂಜಾಡುತ್ತ
gianchangosaras,ಜಿಯಾನ್ಚಾಂಗೋಸಾರಸ್
praavinyaraagabahudu,ಪ್ರಾವೀಣ್ಯರಾಗಬಹುದು
sundarsanaraja,ಸುಂದರ್ಶನರಾಜ
chachiddeve,ಚಾಚಿದ್ದೇವೆ
karnatakadondigina,ಕರ್ನಾಟಕದೊಂದಿಗಿನ
dakshinadavara,ದಕ್ಷಿಣದವರ
vyavastheyeke,ವ್ಯವಸ್ಥೆಯೇಕೆ
achchottiruttade,ಅಚ್ಚೊತ್ತಿರುತ್ತದೆ
ajtekgalannu,ಅಜ್ಟೆಕ್ಗಳನ್ನು
nanenam,ನಾನೇನಂ
matadiddiri,ಮಾತಾಡಿದ್ದಿರಿ
afshan,ಅಫ್ಷಾನ್
swatantryam,ಸ್ವಾತಂತ್ರ್ಯಂ
uttejisabekada,ಉತ್ತೇಜಿಸಬೇಕಾದ
sivaparvati,ಶಿವಪಾರ್ವತಿ
eeshcharappa,ಈಶ್ಚರಪ್ಪ
aiyalliruvanteye,ಐಯಲ್ಲಿರುವಂತೆಯೇ
adagiruvantaha,ಅಡಗಿರುವಂತಹ
tulunaadinalliddu,ತುಳುನಾಡಿನಲ್ಲಿದ್ದು
shrungadalloo,ಶೃಂಗದಲ್ಲೂ
pattakattida,ಪಟ್ಟಕಟ್ಟಿದ
hagninda,ಹಗ್ನಿಂದ
badalaagibidutte,ಬದಲಾಗಿಬಿಡುತ್ತೆ
aivattaralli,ಐವತ್ತರಲ್ಲಿ
malyaninda,ಮಲ್ಯನಿಂದ
kodalaayitante,ಕೊಡಲಾಯಿತಂತೆ
achegina,ಅಚೆಗಿನ
pooraisalaagadu,ಪೂರೈಸಲಾಗದು
keladivasa,ಕೆಲದಿವಸ
shui,ಶೂಯಿ
radheyetake,ರಾಧೆಯೇತಕೆ
kethenahalli,ಕೇತೇನಹಳ್ಳಿ
alateyalliddare,ಅಳತೆಯಲ್ಲಿದ್ದರೆ
hedarige,ಹೆದರಿಗೆ
aamadaaguttiruva,ಆಮದಾಗುತ್ತಿರುವ
aamantranavillada,ಆಮಂತ್ರಣವಿಲ್ಲದ
laureto,ಲಾರೆಟೊ
lanchanam,ಲಾಂಚನಂ
balasala,ಬಳಸಲ
maatunaaduvaaga,ಮಾತುನಾಡುವಾಗ
pushtigollutta,ಪುಷ್ಟಿಗೊಳ್ಳುತ್ತಾ
hinnadeyagiru,ಹಿನ್ನಡೆಯಾಗಿರು
uddaviddara,ಉದ್ದವಿದ್ದರ
cartiz,ಕಾರ್ಟಿಜ್
chithreekanada,ಚಿತ್ರೀಕಣದ
kaaryatantavoo,ಕಾರ್ಯತಂತವೂ
adipayavagidda,ಅಡಿಪಾಯವಾಗಿದ್ದ
samayasikkaga,ಸಮಯಸಿಕ್ಕಾಗ
besarisidda,ಬೇಸರಿಸಿದ್ದ
bareyuvadaagi,ಬರೆಯುವದಾಗಿ
paramatmavalla,ಪರಮಾತ್ಮವಲ್ಲ
iodiced,ಅಯೋಡೈಸ್ಡ್
belavanige,ಬೆಳವಣಿಗೆ
ilitittu,ಇಳಿತಿತ್ತು
saarasvatarella,ಸಾರಸ್ವತರೆಲ್ಲ
rajyadolagade,ರಾಜ್ಯದೊಳಗಡೆ
bandirovaga,ಬಂದಿರೋವಾಗ
meenu,ಮೀನು
hejjeyiruttade,ಹೆಜ್ಜೆಯಿರುತ್ತದೆ
uddavagirabeku,ಉದ್ದವಾಗಿರಬೇಕು
struments,ಸ್ಟ್ರೂಮೆಂಟ್ಸ್
bhojakanu,ಭೋಜಕನು
krishnagari,ಕೃಷ್ಣಗಾರಿ
sketgalu,ಸ್ಕೇಟ್ಗಳು
atibhoga,ಅತಿಭೋಗ
adrushtavaagide,ಅದೃಷ್ಟವಾಗಿದೆ
epiphysal,ಎಪಿಫೈಸಲ್
ivareervarigoo,ಇವರೀರ್ವರಿಗೂ
kottiruvanta,ಕೊಟ್ಟಿರುವಂತಾ
chaakyateyannu,ಚಾಕ್ಯತೆಯನ್ನು
jaaratodaguttade,ಜಾರತೊಡಗುತ್ತದೆ
bhrashtacharadindalu,ಭ್ರಷ್ಟಾಚಾರದಿಂದಲೂ
chatriyagittu,ಛತ್ರಿಯಾಗಿತ್ತು
vayovruddhara,ವಯೋವೃದ್ಧರ
pakshakki,ಪಕ್ಷಕ್ಕಿ
mabbar,ಮಬ್ಬರ್
agabekendare,ಆಗಬೇಕೆಂದರೆ
patravahisi,ಪಾತ್ರವಹಿಸಿ
hidiyuttitu,ಹಿಡಿಯುತ್ತಿತು
dehaakaaravu,ದೇಹಾಕಾರವು
avagnatege,ಅವಜ್ಞತೆಗೆ
uuralle,ಊರಲ್ಲೆ
threats,ಥ್ರೆಟ್ಸ್
gopinathacharyarige,ಗೋಪಿನಾಥಾಚಾರ್ಯರಿಗೆ
kaariddallige,ಕಾರಿದ್ದಲ್ಲಿಗೆ
pradhaananendu,ಪ್ರಧಾನನೆಂದು
prabhrutiyantaha,ಪ್ರಭೃತಿಯಂತಹ
tithige,ತಿಥಿಗೆ
bilipancheya,ಬಿಳಿಪಂಚೆಯ
padedanaadaroo,ಪಡೆದನಾದರೂ
hegennuviro,ಹೇಗೆನ್ನುವಿರೋ
oshadhiyinda,ಓಷಧಿಯಿಂದ
undiddenu,ಉಂಡಿದ್ದೇನು
brezalauspurc,ಬ್ರೆಜಾಲೌಸ್ಪರ್ಕ್
kryappigagi,ಕ್ರ್ಯಾಪ್ಪಿಗಾಗಿ
dappu,ಡಪ್ಪು
padeyabavududaada,ಪಡೆಯಬವುದುದಾದ
kongada,ಕೊಂಗದ
talayanetti,ತಲಯನೆತ್ತಿ
tavala,ತವಳ
nivruttigolisidanu,ನಿವೃತ್ತಿಗೊಳಿಸಿದನು
sammakhadalliye,ಸಮ್ಮಖದಲ್ಲಿಯೇ
bisiyaagisiddaare,ಬಿಸಿಯಾಗಿಸಿದ್ದಾರೆ
vyavahaaragalaada,ವ್ಯವಹಾರಗಳಾದ
udaattavendu,ಉದಾತ್ತವೆಂದು
tilisidavaraaru,ತಿಳಿಸಿದವರಾರು
horaadidavaraagiddaare,ಹೋರಾಡಿದವರಾಗಿದ್ದಾರೆ
kivigadachittuva,ಕಿವಿಗಡಚಿಟ್ಟುವ
madilalide,ಮಡಿಲಲಿದೆ
kelubaaradu,ಕೇಳುಬಾರದು
mannumukkisiddaale,ಮಣ್ಣುಮುಕ್ಕಿಸಿದ್ದಾಳೆ
baalakanaagiddale,ಬಾಲಕನಾಗಿದ್ದಲೇ
odiyaaduvaaga,ಓಡಿಯಾಡುವಾಗ
gorakhnath,ಗೋರಖ್ನಾಥ್
koreta,ಕೊರೆತ
animaadabeku,ಅಣಿಮಾಡಬೇಕು
sutkabeku,ಸುಟ್ಕಬೇಕು
sarakaaryavaaharu,ಸರಕಾರ್ಯವಾಹರು
kacheriyallidhvajarohana,ಕಚೇರಿಯಲ್ಲಿಧ್ವಜಾರೋಹಣ
muluguttiddavarige,ಮುಳುಗುತ್ತಿದ್ದವರಿಗೆ
bendopnia,ಬೆಂಡೋಪ್ನಿಯಾ
praveshisiddadaru,ಪ್ರವೇಶಿಸಿದ್ದಾದರೂ
bigimushtiyinda,ಬಿಗಿಮುಷ್ಟಿಯಿಂದ
kuttuva,ಕುತ್ತುವ
suggihabba,ಸುಗ್ಗಿಹಬ್ಬ
sunadakalla,ಸುಣದಕಲ್ಲ
babulla,ಬಾಬುಲಾ
yogyavagiruvante,ಯೋಗ್ಯವಾಗಿರುವಂತೆ
kunkumabottu,ಕುಂಕುಮಬೊಟ್ಟು
keeladu,ಕೀಳದು
kattaleyaagi,ಕಟ್ಟಳೆಯಾಗಿ
pariparilinda,ಪರಿಪರಿಲಿಂದ
addabiddavaru,ಅಡ್ಡಬಿದ್ದವರು
hatyaka,ಹತ್ಯಾಕ
sannaddhavaaguttive,ಸನ್ನದ್ಧವಾಗುತ್ತಿವೆ
mallikanna,ಮಲ್ಲಿಕಣ್ಣ
hunley,ಹನ್ಲಿ
nidabekendenu,ನೀಡಬೇಕೆಂದೇನೂ
bhrameyirabahudu,ಭ್ರಮೆಯಿರಬಹುದು
patanagondiddaare,ಪತನಗೊಂಡಿದ್ದಾರೆ
hichkadadalli,ಹಿಚ್ಕಡದಲ್ಲಿ
saadhyateyedegina,ಸಾಧ್ಯತೆಯೆಡೆಗಿನ
allubattigalalli,ಅಳ್ಳುಬಟ್ಟಿಗಳಲ್ಲಿ
chaukavagikattarisida,ಚೌಕವಾಗಿಕತ್ತರಿಸಿದ
muppane,ಮುಪ್ಪಾನೆ
harivilla,ಹರಿವಿಲ್ಲ
jhaitsevge,ಝೈಟ್ಸೆವ್ಗೆ
ruparshigalu,ರೂಪರ್ಶಿಗಳು
baliyavaregu,ಬಳಿಯವರೆಗೂ
mahankaryadinda,ಮಹಾನ್ಕಾರ್ಯದಿಂದ
upabatnik,ಉಪಬಾಟ್ನಿಕ್
narpu,ನರ್ಪು
kusidubiddiddaale,ಕುಸಿದುಬಿದ್ದಿದ್ದಾಳೆ
neravaguvudara,ನೆರವಾಗುವುದರ
svikarisuttaveye,ಸ್ವೀಕರಿಸುತ್ತವೆಯೇ
tilakaru,ತಿಳಕರು
umuraja,ಉಮುರಾಜಾ
mailigeyagiruttane,ಮೈಲಿಗೆಯಾಗಿರುತ್ತಾನೆ
edministration,ಎಡ್ಮಿನಿಸ್ಟ್ರೇಶನ್
