mathanggi,ꯃꯊꯪꯒꯤ
sangsalon,ꯁꯪꯁꯥꯂꯣꯟ
goutamkumar,ꯒꯧꯇꯝꯀꯨꯃꯥꯔ
lailoulempigi,ꯂꯥꯢꯂꯧꯂꯦꯝꯄꯤꯒꯤ
lamleima,ꯂꯝꯂꯩꯃ
sesa,ꯁꯦꯁꯥ
consonant,ꯀꯟꯁꯣꯅꯦꯟ
nungshijaba,ꯅꯨꯡꯁꯤꯖꯕ
chupnaa,ꯆꯨꯞꯅꯥ
matamsidagi,ꯃꯇꯝꯁꯤꯗꯒꯤ
amphitriteni,ꯑꯦꯝꯐꯤꯇ꯭ꯔꯥꯢꯇꯤꯅꯤ
maion,ꯃꯥꯢꯑꯣꯟ
toujaduna,ꯇꯧꯖꯗꯨꯅ
thaangpham,ꯊꯥꯡꯐꯝ
tampiloi,ꯇꯝꯄꯤꯂꯣꯢ
amuktada,ꯑꯃꯨꯛꯇꯗ
saannaroi,ꯁꯥꯟꯅꯔꯣꯢ
maangdanaba,ꯃꯥꯡꯗꯅꯕ
shumaanggi,ꯁꯨꯃꯥꯡꯒꯤ
waatekleima,ꯋꯥꯇꯦꯛꯂꯩꯃ
ngairi,ꯉꯥꯢꯔꯤ
kangjeigi,ꯀꯥꯡꯖꯩꯒꯤ
myanmarda,ꯃ꯭ꯌꯥꯟꯃꯥꯔꯗ
marifutaraataret,ꯃꯔꯤꯐꯨꯇꯔꯥꯇꯔꯦꯠ
masagi,ꯃꯁꯥꯒꯤ
khapa,ꯈꯥꯄ
mosoleum,ꯃꯣꯁꯣꯂꯤꯌꯝ
punshinlaga,ꯄꯨꯟꯁꯤꯟꯂꯒ
mamaangngeidagi,ꯃꯃꯥꯡꯉꯩꯗꯒꯤ
saktakni,ꯁꯛꯇꯥꯛꯅꯤ
lijendari,ꯂꯤꯖꯦꯟꯗꯔꯤ
yumpaanba,ꯌꯨꯝꯄꯥꯟꯕ
koukhale,ꯀꯧꯈꯂꯦ
loyalakpa,ꯂꯣꯌꯥꯂꯥꯛꯄ
ibagidamak,ꯏꯕꯒꯤꯗꯃꯛ
rometheuski,ꯔꯣꯃꯦꯊꯤꯌꯁꯀꯤ
hourak,ꯍꯧꯔꯛ
taramari,ꯇꯔꯥꯃꯔꯤ
loumisingna,ꯂꯧꯃꯤꯁꯤꯡꯅ
esheida,ꯏꯁꯩꯗ
araaba,ꯑꯔꯥꯕ
aphrodyty,ꯑꯦꯐ꯭ꯔꯣꯗꯥꯢꯇꯤ
kairakkhi,ꯀꯥꯢꯔꯛꯈꯤ
paaraani,ꯄꯥꯔꯥꯅꯤ
maningtambaa,ꯃꯅꯤꯡꯇꯝꯕꯥ
saionba,ꯁꯥꯢꯑꯣꯟꯕ
mangba,ꯃꯥꯡꯕ
thaajare,ꯊꯥꯖꯔꯦ
lichat,ꯂꯤꯆꯠ
anganghalna,ꯑꯉꯥꯡꯍꯜꯅ
gidamakta,ꯒꯤꯗꯃꯛꯇ
lanmisingni,ꯂꯥꯟꯃꯤꯁꯤꯡꯅꯤ
thongram,ꯊꯣꯡꯒ꯭ꯔꯥꯝ
nopap,ꯅꯣꯄꯥꯞ
fousu,ꯐꯧꯁꯨ
suganu,ꯁꯨꯒꯅꯨ
loushingkaanglon,ꯂꯧꯁꯤꯡꯀꯥꯡꯂꯣꯟ
maigi,ꯃꯥꯢꯒꯤ
anina,ꯑꯅꯤꯅ
kaba,ꯀꯥꯕ
taraagi,ꯇꯔꯥꯒꯤ
pirurage,ꯄꯤꯔꯨꯔꯒꯦ
saiyon,ꯁꯥꯢꯌꯣꯟ
houda,ꯍꯧꯗ
kaamaaksi,ꯀꯥꯃꯥꯛꯁꯤ
khudamsing,ꯈꯨꯗꯝꯁꯤꯡ
paarti,ꯄꯥꯔꯇꯤ
inaba,ꯏꯅꯕ
angom,ꯑꯉꯣꯝ
khaipiyu,ꯈꯥꯢꯄꯤꯌꯨ
pangnaba,ꯄꯥꯡꯅꯕ
hainabasu,ꯍꯥꯢꯅꯕꯁꯨ
tarabasu,ꯇꯥꯔꯕꯁꯨ
sudaba,ꯁꯨꯗꯕ
kumbi,ꯀꯨꯝꯕꯤ
mabungna,ꯃꯕꯨꯡꯅ
jef,ꯖꯦꯐ
sageida,ꯁꯥꯒꯩꯗ
