vrithiyaakkiyathinu,വൃത്തിയാക്കിയത്തിനു
viyojichaanu,വിയോജിച്ചാണ്
kuthamkutty,കുത്താംകുട്ടി
jabbariyenna,ജബ്ബാരിയെന്ന
senegalese,സെനെഗലീസ്
niswanodum,നിസ്വനോടും
allippidichukayari,അള്ളിപ്പിടിച്ചുകയറി
kavithaamaathrukayeyo,കവിതാമാതൃകയെയോ
bavakutty,ബാവകുട്ടി
aalambaheenarumaaya,ആലംബഹീനരുമായ
fraansileykku,ഫ്രാൻസിലേയ്ക്ക്
sambhaavyamaan,സംഭാവ്യമാണ്
mahasweta,മഹാശ്വേത
soritta,സോറിറ്റ
thanichaakkiyittu,തനിച്ചാക്കിയിട്ടു
neraanonnu,നേരാണൊന്നു
keezhadangunnavarundu,കീഴടങ്ങുന്നവരുണ്ട്
kaambasilundaakum,കാമ്പസിലുണ്ടാകും
mandasmithatthilum,മന്ദസ്മിതത്തിലും
samarppichukondum,സമർപ്പിച്ചുകൊണ്ടും
ekkarilekkulla,ഏക്കറിലേക്കുള്ള
samarchu,സമർച്ചു
maargathilum,മാർഗത്തിലും
iniyundaakumennum,ഇനിയുണ്ടാകുമെന്നും
saayuvin,സായുവിന്
kudivellamulppade,കുടിവെള്ളമുൾപ്പടെ
theerthaadakarkkoppam,തീർഥാടകർക്കൊപ്പം
shathriyareyum,ക്ഷത്രിയരേയും
sthambhikkumbol,സ്തംഭിക്കുമ്പോൾ
shwaasakoshathine,ശ്വാസകോശത്തിനെ
kudukkunnathilekku,കുടുക്കുന്നതിലേക്കു
sanpaadichathennu,സന്പാദിച്ചതെന്ന്
snehatheyum,സ്നേഹത്തേയും
thaalookkinodu,താലൂക്കിനോട്
vandyajaims,വന്ദ്യജെയിംസ്
orumaasamkonduthanne,ഒരുമാസംകൊണ്ടുതന്നെ
kanneervaathakangalum,കണ്ണീർവാതകങ്ങളും
ageekarikkanaavilla,അഗീകരിക്കാനാവില്ല
aaswadikkaanaakumenna,ആസ്വദിക്കാനാകുമെന്ന
