mwnlwnga,मोनलोङा
ransargra,रानसारग्रा
baohordwngmwn,बावहरदोंमोन
riyel,रियेल
tamkonayari,थामखनायारि
dungta,दुंथा
jutaywi,जुथायै
maoblasw,मावब्लासो
saseb,सासेब
poraisong,फरायसं
sansim,सानसिम
granid,ग्रानिद
senani,सेनानि
kalamdengmwn,खालामदेंमोन
lapingwn,लाफिनगोन
gonaina,गनायना
nujapwinanwi,नुजाफैनानै
fulam,फुलाम
bagansaliao,बागानसालियाव
gwsarlabaini,गोसारलाबायनि
kerlayao,केरलायाव
tadwngmwnblabw,थादोंमोनब्लाबो
siriyalfwrao,सिरियलफोराव
ringasingmo,रिंगासिंम
rwngwosapwra,रोंगौसाफोरा
prevention,प्रिभेन्सन
hadwngmwn,हादोंमोन
rongbai,रंबाय
ramnwgwr,रामनोगोर
kungalaswi,खुङालासै
ramain,रामायन
hagramapwrni,हाग्रामाफोरनि
kalamdwngsrinagar,खालामदोंश्रीनगर
langsuniprai,लांसुनिफ्राय
naijirnaya,नायजिरनाया
jajwbnaini,जाजोबनायनि
jujigwnh,जुजिगोनः
bwklaih,बोख्लायः
kworangao,खौराङाव
kumguri,खुमगुरि
halem,हालेम
bungdwngmwndi,बुंदोंमोनदि
lagainw,लागायनो
jwbtasi,जोबथासि
septi,सेप्टि
befruhwnai,बेफ्रुहोनाय
swmjihwgasinw,सोमजिहोगासिनो
bollywoodao,बलिउडआव
longria,लंग्रिआ
chandrayan,चन्द्रयान
jwogakangnanwi,जौगाखांनानै
khorgeshor,खर्गेशर
mibthihwyw,मिबथिहोयो
dwidwinlangdwng,दैदैनलांदों
pipwrni,पिफोरनि
mirusim,मिरुसिम
lanw,लानो
rutiya,रुतिया
gwjamswiblabw,गोजामसैब्लाबो
gwbrabwi,गोब्राबै
aijwng,आयजों
swmaosornaikwo,सोमावसरनायखौ
petrail,पेट्रेल
kangnaibadi,खांनायबादि
afghanfwrkwobw,आफगानफोरखौबो
monk,मंग
komailangdwng,खमायलांदों
tonwini,थनैनि
laimwnpwrkwo,लायमोनफोरखौ
mododgiri,मददगिरि
maowi,मावै
ansula,अनसुला
hadorpwra,हादरफोरा
miniywblanw,मिनियोब्लानो
robibar,रबिबार
bordosain,बर्दसाइन
berampwrabw,बेरामफोराबो
jotumw,जथुमो
blockwo,ब्लकखौ
jiyanw,जियानो
bitangabungwdi,बिथांआबुङोदि
jasindwng,जासिन्दों
gidingpinnw,गिदिंफिननो
komaihwnw,खमायहोनो
bindhakata,बिन्धाकाटा
nwjwrnanwisw,नोजोरनानैसो
samlaigori,सामलायगरि
onuradha,अनुराधा
maker,मेकार
janbungpwrni,जानबुंफोरनि
renjeda,रेनजेदा
raidanni,रायदाननि
jammat,जाम्मात
swrjikhangdwngmwn,सोरजिखांदोंमोन
daogalangnanwi,दावगालांनानै
tandwikwo,थान्दैखौ
sabitri,साबित्रि
pwitarnaiswi,फैथारनायसै
lwmdwng,लोमदों
toga,थगा
networkni,नेटवर्कनि
rwjal,रोजाल
linguani,लिंगुवानि
nilajhora,निलाझरा
hasaoao,हासावाव
abhiyapuriao,आभियापुरिआव
gosong,गसं
santaya,सानथाया
gobwi,गबै
bungpindwng,बुंफिनदों
kworangmwnnanwi,खौरांमोननानै
deulah,देउलआ
serfangni,सेरफांनि
kaolaihornailai,खावलायहरनायलाय
gaonangwo,गावनांगौ
malakar,मालाकार
dokonafwra,दखनाफोरा
shanibar,शनिबार
mijingtiyari,मिजिंथियारि
himachhol,हिमाछल
sannaiswmwn,साननायसोमोन
jwngwn,जोंगोन
swgirifwra,सोगिरिफोरा
poraisalima,फरायसालिमा
fwrmaidwngbodo,फोरमयादोंबड
gwhwn,गोहोन
dintibai,दिन्थिबाइ
tribunelao,ट्रिबुनेलआव
cabineth,केबिनेथ
karjwbw,खारजोबो
gwnanga,गोनांआ
gaoninw,गावनिनो
bendengni,बेन्देंनि
banjanai,बान्जानाय
bwisankali,बैसानखालि
kalampubai,खालामफुबाय
bengaliao,बेंगलीयाव
fwiywbla,फैयोब्ला
aoad,आवाद
basainaikwo,बासाइनायखौ
gunao,गुणाव
jabwnanwi,जाबोनानै
hadorsapwrkwo,हादरसाफोरखौ
dwidengiripwrnisim,दैदेनगिरिफोरनिसिम
barlangbaicare,बारलांबायकाइर
sadiani,सादियानि
gwjan,गोजान
mwndwngla,मोनदोंला
chartipicate,चार्टिपिकेट
jwblaonaifwrbaidi,जोब्लावनायफोरबायदि
mugwijlainaijwng,मुगैज्लायनायजों
swlwngtayari,सोलोंथायारि
siklapwrni,सिख्लाफोरनि
titlekwo,टाइटेलखौ
kulumbai,खुलुमबाय
baidiywi,बायदियै
mungklongpwrjwngnw,मुंख्लंफोरजोंनो
cinematgrapher,सिनेमाटग्राफार
basfwrao,बासफोराव
jotumayaonw,जथुमायावनो
jwomwnpwrni,जौमोनफोरनि
sirap,सिराप
abadkwobw,आबादखौबो
janayani,जानायानि
dongfayw,दंफायो
lubwisula,लुबैसुला
jwbsranglangwn,जोबस्रांलांगोन
lanangdwng,लानांदों
hwnaiao,होनाइयाव
daobaigiripwr,दावबायगिरिफोर
tasaripwrjwng,थासारिफोरजों
sujeetaa,सुजितआ
gongjinwi,गंजिनै
jekijaya,जेखिजाया
fwsabgiri,फोसाबगिरि
lotabarini,लटाबारिनि
japunghwnaini,जाफुंहोनायनि
bwtao,बोथाव
gilbartson,गिलबार्टसन
gikangdwngmwnblabw,गिखांदोंमोनब्लाबो
sifaigrani,सिफायग्रानि
lingtumgori,लिंथुमगरि
vactoryni,भेक्टरिनि
lakipindwng,लाखिफिनदों
habaparipwrkwo,हाबाफारिफोरखौ
tunlalai,थुनलालाय
kardolji,कार्दलजि
sakondrani,साखन्द्रानि
dankanai,दानखानाय
maogiripwrkwo,मावगिरिफोरखौ
bibangwnang,बिबानगोनां
hakabai,हाखाबाय
gwbanganw,गोबांआनो
bilaini,बिलाइनि
raoswlaigiri,रावसोलायगिरि
dongkayw,दंखायो
tidwng,थिदों
bumraho,बुमराह
kadriyatsebhaini,कद्रियाटसेभाइनि
songsarni,संसारनि
babor,बाबर
hwgrapwrnw,होग्राफोरनो
mooshahary,मुसाहारि
ongaywinw,अनगायैनो
gagbelwbnaipwra,गाग्बेलोबनायफोरा
homkrobnanwi,हमख्रबनानै
kolitakwo,कलिताखौ
beltolayao,बेलतलायाव
vorani,भरानि
jalankwo,जालानखौ
sompwrani,समफोरानि
jatainifrainw,जाथायनिफ्रायनो
mitimwnhwnaikwo,मिथिमोनहोनायखौ
onsainangwoni,अनसायनांगौनि
habkwmananwi,हाबखोमानानै
gargra,गारग्रा
daokwnwbw,दावखोनोबो
talir,थालिर
layini,लायिनि
felebsebw,फेलेबसेबो
hordwngmwnblabw,हरदोंमोनब्लाबो
nwngw,नोङो
aijwfwrnifrai,आइजोफोरनिफ्राय
jengnapwrjwng,जेंनाफोरजों
gohwnw,गहोनो
hadwt,हादोत
barainkwo,बारायनखौ
rongjhakangdwngmwn,रंजाखांदोंमोन
unti,उनथि
aogailangnayao,आवगायलांनायाव
nrcao,एनआरसीआव
siklapwr,सिख्लाफोर
monsun,मनसुन
bungblasw,बुंब्लासो
hwnblabwto,होनब्लाबोथ
mayatw,मायाथो
terminolji,टार्मिनलजि
porbotjhwrayao,पर्बतझोरायाव
varansi,भारानसि
kwndwpari,खोन्दोफारि
nemh,नेमः
engnjiniyorpwr,इंन्जिनियरफोर
wngkarlangdwngblabw,ओंखारलांदोंब्लाबो
schemepwrdong,स्किमफोरदं
tamwntasw,थामोन्थासो
junarnw,जुनारनो
somhalagwi,समहालागै
prahari,प्राहारि
bigraikangnai,बिग्रायखांनाय
perumbabhur,पेरुम्बाभुर
bwswrari,बोसोरारि
gunjer,गुनजेर
gubunpwrjwng,गुबुनफोरजों
gwnanglai,गोनांलाय
complainfwrkwo,कमप्लेइनफोरखौ
maopungbwnai,मावफुंबोनाय
radhakrishnanah,राधाकृष्णनआ
sponchard,स्पनचार्ड
saoraijlaidwng,सावरायज्लायदों
swdangnangsigwo,सोदांनांसिगौ
wswli,ओसोलि
biswrniprai,बिसोरनिफ्राइ
gwmja,गोमजा
domestick,दमेस्तिक
mendelakwo,मेन्डेलाखौ
swdangjaywbla,सोदांजायोब्ला
brazilni,ब्राजिलनि
battalionah,बेटेलियनआ
kalamhwinai,खालामहैनाय
sobrwi,सब्रै
mulugnang,मुलुगनां
mitisarjanai,मिथिसारजानाय
judayari,जुदायारि
sanfrwmbwni,सानफ्रोमबोनि
dwikangw,दैखांङो
gaosralainaiao,गावस्रालायनायाव
bigumgiri,बिगुमगिरि
mechau,मेसयाव
fwrmailangdwng,फोरमायलांदों
hwnayao,होनायाव
pwrwngiripwr,फोरोंगिरिफोर
songmetaya,संमेथाया
kalamanwi,खालामानै
jorka,जरखा
nagalwindniprai,नागालैन्डनिफ्राय
bojali,बजालि
julyni,जुलाइनि
nasunguri,नासुंगुरि
kongnanwi,खंनानै
dihuntaya,दिहुनथाया
